"","UniqueID","StateAbbr","CityName","Cancer_value","Binge_value","Smoke_value","LPA_value","Sleep_value","Obesity_value"
"442","664224","CA","Salinas",5.2,15,16.2,29.2,34.8,31.4
"443","665000","CA","San Bernardino",5.2,14.4,18.9,30.7,41.1,33.1
"444","665042","CA","San Buenaventura (Ventura)",6.2,19.4,13.2,18.3,33.5,24.5
"445","666000","CA","San Diego",5.6,19.6,12.4,17.9,33.2,20.4
"446","667000","CA","San Francisco",5.3,21.2,11.5,17.9,30.3,17.2
"447","668000","CA","San Jose",5.3,14.5,11.3,21.7,32.5,20.6
"448","668084","CA","San Leandro",5.3,16.9,14.1,20.5,36.4,21.1
"449","668196","CA","San Marcos",5.8,20.1,13.4,18.8,33.2,21.3
"450","668252","CA","San Mateo",5.8,17.2,11.4,16.6,31.5,22.6
"451","668378","CA","San Ramon",5.7,16.6,8.5,13,30.6,19.3
"452","669000","CA","Santa Ana",4.8,14,15.7,28.8,35.2,27.9
"453","669070","CA","Santa Barbara",6,18.9,12.2,17.6,27.7,24.6
"454","669084","CA","Santa Clara",5.5,15,9.5,17.7,31,18.3
"455","669088","CA","Santa Clarita",5.9,19.4,12.1,16.2,34,22.6
"456","669196","CA","Santa Maria",5.4,15.5,16.9,29,31.6,30.2
"457","670000","CA","Santa Monica",6.1,19.4,9.5,12.6,31.6,20.4
"458","670098","CA","Santa Rosa",6.2,18.3,14.6,19.4,33.9,24.3
"459","672016","CA","Simi Valley",6.1,19.7,12.8,17.3,33.5,22.6
"460","673080","CA","South Gate",4.7,15,14.5,29.5,37.2,31
"461","675000","CA","Stockton",5.3,15.1,16.3,28.3,37.6,31.1
"462","677000","CA","Sunnyvale",5.5,14.8,8.6,16.6,30.4,17.2
"463","678120","CA","Temecula",5.9,20.2,13,17.8,36.4,24.5
"464","678582","CA","Thousand Oaks",6.2,19.8,11.3,15.4,32.2,21.5
"465","680000","CA","Torrance",5.5,17,9.9,15.1,34.6,18
"466","680238","CA","Tracy",5.5,18.7,13.5,21.3,34.7,27.5
"467","680812","CA","Turlock",6,17.9,15.5,23.8,35.4,30.5
"468","680854","CA","Tustin",5.5,15.8,11.9,18.4,32.2,21.4
"469","681204","CA","Union City",4.8,15.5,11.7,19.3,36.3,17
"470","681344","CA","Upland",5.7,17.7,13.5,19.5,36.8,25.2
"471","681554","CA","Vacaville",5.9,19.9,15.2,19.4,35.9,25
"472","681666","CA","Vallejo",5.3,15.3,14.9,23.6,38.9,25.2
"473","682590","CA","Victorville",5.4,15.9,17.7,26.3,40.3,31
"474","682954","CA","Visalia",5.8,17.9,16,23.4,32.7,33.8
"475","682996","CA","Vista",5.7,19.7,15.3,21.6,34.3,23.7
"476","684200","CA","West Covina",5,15.8,11,20.3,36.3,22.1
"477","684550","CA","Westminster",4.9,12.9,14.5,23.9,36.2,19.6
"478","685292","CA","Whittier",5.4,18.1,11.4,19.3,34.4,25.3
"479","803455","CO","Arvada",6.4,21.4,16.3,13.6,26.9,23.2
"480","804000","CO","Aurora",5.7,16.8,17.9,19.8,31.3,25.3
"481","807850","CO","Boulder",6.3,20.2,12.4,10.9,24.5,16.6
"482","812815","CO","Centennial",6.1,20.3,12.6,11.9,26.6,19.1
"483","816000","CO","Colorado Springs",6.3,16,16.1,16.7,30.2,24.2
"484","820000","CO","Denver",5.9,22.4,16.8,16,28.2,20.2
"485","827425","CO","Fort Collins",6.4,19.3,14.8,13,26.7,23.2
"486","832155","CO","Greeley",5.8,17.8,18.6,19.7,29.6,27.8
"487","843000","CO","Lakewood",6.3,20.2,16.5,14.9,27.4,24.3
"488","845970","CO","Longmont",6.1,20.2,14.8,13.5,25.8,17.8
"489","846465","CO","Loveland",6.4,20.2,16,13.4,27,23.3
"490","862000","CO","Pueblo",5.8,15.2,20,23.6,35.1,30.7
"491","877290","CO","Thornton",5.9,18.6,18.7,19.1,30.6,25.9
"492","883835","CO","Westminster",6.1,20,16.6,15.8,28.7,23.8
"493","908000","CT","Bridgeport",5.6,15,18.4,28.8,40.1,32.4
"494","918430","CT","Danbury",6.1,18.2,16.1,21.9,35.7,25.4
"495","937000","CT","Hartford",5.3,13.4,20.5,36.7,41,37.2
"496","950370","CT","New Britain",5.9,15.9,19.6,31.3,37.3,31.9
"497","952000","CT","New Haven",5.9,13.9,18.6,28,40.8,34.3
"498","955990","CT","Norwalk",6.1,18.5,13.7,19.5,34.7,25
"499","973000","CT","Stamford",6,18.2,12.9,19,34.5,24.3
"500","980000","CT","Waterbury",6.1,14.5,21.6,29.9,40.6,34.2
